time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/std,train/policy_gradient_loss,train/explained_variance,train/value_loss
876544,722,100.0,-10005.27884228,107,1213,1060,-1.0068114429712296,0.0006468351,7.32421875e-05,0.2,0.0003,124129.84375,0.6604403257369995,4.685542298830114e-05,0.0,644999.3203125
884736,729,100.0,-10042.54722534,108,1212,1070,-1.0025982029736042,0.0037139663,0.0159912109375,0.2,0.0003,126909.4609375,0.6582351922988892,-0.0009775869591976516,-1.1920928955078125e-07,645449.5302734375
892928,736,100.0,-10064.318087109998,109,1212,1080,-1.0043420981615783,0.0022040354,0.00728759765625,0.2,0.0003,124079.8203125,0.6622312068939209,-0.0005695705083780922,0.0,650592.24765625
901120,743,100.0,-10079.077096500001,110,1212,1090,-1.0110006853938103,0.0019709296,0.00716552734375,0.2,0.0003,129792.75,0.6660157442092896,-0.00053184542193776,0.0,652159.28828125
909312,750,100.0,-10084.407558879999,111,1211,1100,-1.0104940112680196,0.0016376231,0.00333251953125,0.2,0.0003,127597.3359375,0.663237452507019,-0.00021290078875608743,0.0,653466.1015625
917504,757,100.0,-10090.478826800001,112,1211,1110,-1.005216308310628,0.000918631,0.002392578125,0.2,0.0003,130213.875,0.6596916913986206,-0.0003085377888055518,0.0,653598.1955078125
925696,764,100.0,-10033.58922082,113,1211,1120,-0.993984280899167,0.004085743,0.02266845703125,0.2,0.0003,128999.0859375,0.6491472125053406,-0.0018667909807845717,0.0,653992.3248046875
933888,771,100.0,-10045.66724952,114,1210,1130,-0.9804410945624114,0.0014400996,0.00343017578125,0.2,0.0003,126896.8515625,0.6407796144485474,-0.00043015539886255284,0.0,641681.8271484375
942080,777,100.0,-10087.23105325,115,1211,1140,-0.962583458609879,0.0029269073,0.0190185546875,0.2,0.0003,126211.5078125,0.6283208131790161,-0.0014136959121969993,0.0,647356.1927734375
950272,784,100.0,-10098.067312539999,116,1211,1150,-0.9507223460823298,0.0020731576,0.0051025390625,0.2,0.0003,132271.765625,0.6246213912963867,-0.00025079875995288604,0.0,649239.6748046875
958464,791,100.0,-10148.16316389,117,1211,1160,-0.9453310014680028,0.0018100038,0.005859375,0.2,0.0003,125770.5078125,0.6208287477493286,-0.0003020768905116711,0.0,651391.065625
966656,797,100.0,-10188.871954299999,118,1211,1170,-0.9390430999919772,0.003282051,0.01376953125,0.2,0.0003,133401.90625,0.6175940632820129,-0.0011434304076828993,0.0,658613.23515625
974848,804,100.0,-10244.980284300002,119,1211,1180,-0.9291929997503757,0.0026644454,0.01822509765625,0.2,0.0003,129408.7578125,0.6090027689933777,-0.0012041053123539314,0.0,662591.746484375
983040,811,100.0,-10258.18318672,120,1212,1190,-0.911391700990498,0.0027998402,0.012744140625,0.2,0.0003,133199.09375,0.596229076385498,-0.0012285530829103664,5.960464477539063e-08,671701.7990234375
991232,817,100.0,-10316.82055726,121,1212,1200,-0.9025915445759892,0.0016087994,0.01431884765625,0.2,0.0003,132088.984375,0.5970686674118042,-0.0009679244882136118,0.0,669583.6859375
999424,824,100.0,-10272.357701189998,122,1212,1210,-0.8993318662047386,0.0033644359,0.01131591796875,0.2,0.0003,134877.484375,0.5936128497123718,-0.0006339482839393895,0.0,680808.624609375
1007616,830,100.0,-10192.64413264,123,1212,1220,-0.8932014549151063,0.0022220109,0.01837158203125,0.2,0.0003,132362.296875,0.589834988117218,-0.0010773415331641445,-1.1920928955078125e-07,669079.18203125
1015808,837,100.0,-10131.954372209999,124,1212,1230,-0.884214324131608,0.0032353736,0.01253662109375,0.2,0.0003,132770.734375,0.5827727317810059,-0.0007095263237715699,-1.1920928955078125e-07,656974.9248046875
1024000,844,100.0,-10154.94235242,125,1213,1240,-0.8735828701406717,0.003942215,0.02860107421875,0.2,0.0003,128491.8203125,0.5777021646499634,-0.001822207095756312,0.0,647437.8732421875
1032192,850,100.0,-10187.86603527,126,1213,1250,-0.865740135870874,0.0013610614,0.00462646484375,0.2,0.0003,127708.4921875,0.5736619234085083,-0.0001400837441906333,-1.1920928955078125e-07,652376.5095703125
1040384,857,100.0,-10199.43547863,127,1213,1260,-0.8566512808203697,0.00056493946,0.00511474609375,0.2,0.0003,129638.2265625,0.5667546391487122,-0.00012049533252138645,0.0,656543.1611328125
