step,policy_gradient_loss,value_loss,entropy_loss,total_loss,episodic_reward
1376256,1.3004349602852016e-05,619265.592578125,-0.3630466602742672,121705.1328125,
1384448,-0.00024970795166154856,591056.8826171875,-0.3639334555715322,118208.3125,
1392640,-0.0008806464451481588,597826.6373046875,-0.36096625588834286,116565.015625,
1400832,-0.0007871265057474375,588202.4763671875,-0.3525028254836798,117526.203125,
1409024,0.00017638367498875595,605529.276953125,-0.3470824856311083,118029.859375,
1417216,-0.0009300472476752475,616601.0857421875,-0.3358632829040289,118999.3515625,
1425408,-0.0005808254194562323,637501.2755859375,-0.3258165970444679,123200.140625,
1433600,-0.00027114079439343185,631741.2982421875,-0.3177731424570084,124569.96875,
1441792,-0.00118449433502974,638114.8501953125,-0.3023997865617275,123516.8984375,
1449984,-0.0010038885520771146,622070.1994140625,-0.29039808325469496,117503.3984375,
1458176,0.000295019605619018,610869.25703125,-0.2860838208347559,121859.859375,
1466368,-0.0014037991713848896,599321.6576171875,-0.2794128004461527,118284.9453125,
1474560,-0.00022563610182260163,578219.8931640625,-0.27113046646118166,114903.1953125,
1482752,0.00012075120139343198,591161.533203125,-0.27333402894437314,120391.65625,
1490944,-0.0013759652509179432,588061.0658203125,-0.2740293603390455,115157.546875,
1499136,-0.0001426421535143163,610593.4787109375,-0.2723144143819809,118859.0859375,
1507328,-0.0005493799559189938,594076.714453125,-0.26800093054771423,117453.203125,
1515520,9.88001236692071e-05,591688.7841796875,-0.2628644399344921,117536.6875,
1523712,0.00025675680590211416,577553.2267578125,-0.2630984228104353,113566.375,
1531904,-0.0006784911860449938,575056.55390625,-0.2587788015604019,111704.1953125,
1540096,-0.0006360635059536434,600794.7390625,-0.2489964060485363,118583.2578125,
1548288,-0.001415835408079147,568039.7515625,-0.23831204026937486,113564.375,
1556480,0.00014424822093133115,571009.9484375,-0.23024426400661469,108452.1015625,
1564672,-0.0005784532233519713,557861.3080078125,-0.22402320094406605,110400.875,
1572864,-0.0011429897458583582,565271.70390625,-0.20899317786097527,111915.2890625,
1581056,8.189329673768952e-06,567968.7874023437,-0.20014170072972776,111350.1015625,
1589248,-0.0011895587005710695,561804.8349609375,-0.19033227041363715,113288.7265625,
1597440,-0.000801198193221353,577021.1060546875,-0.17715306878089904,110177.21875,
1605632,-0.0013119000712322304,569843.2603515625,-0.16957867294549941,114983.2109375,
1613824,-0.00026250070295645854,566864.2587890625,-0.1619798693805933,108546.9296875,
1622016,-0.0009708358931675321,565317.9271484375,-0.15375108271837234,110041.5859375,
1630208,4.9407237384002656e-05,583370.2603515625,-0.15074774511158467,115539.6796875,
1638400,8.691125476616435e-05,614261.9947265625,-0.14849757626652718,122962.5859375,
1646592,-0.0007617459537868854,583094.228125,-0.13970696404576302,114654.625,
1654784,-0.0010628414873281144,600532.9095703125,-0.13160237558186055,115742.953125,
1662976,-0.0008304116112412885,604819.8615234375,-0.12452811524271964,116525.9765625,
1671168,-0.0013588859579613199,580013.6431640625,-0.11503460183739662,113711.625,
1679360,0.00040675522686797196,563223.595703125,-0.11057129427790642,112446.59375,
1687552,-0.0003564286234905012,556015.75703125,-0.1098291251808405,111622.9921875,
1695744,-0.0009334525762824342,574590.376171875,-0.10797161236405373,113402.90625,
1703936,-0.0015792487036378588,625845.7720703125,-0.1120281308889389,121236.9453125,
1712128,-0.0003325526646221988,555411.831640625,-0.11703676581382752,106916.9375,
1720320,-0.0008906084018235561,576337.4287109375,-0.11763089969754219,111458.8515625,
1728512,-0.000783627652344876,601636.0029296875,-0.11404054760932922,121227.4609375,
1736704,-0.00026159721237490886,576245.3234375,-0.10486451238393783,114040.9609375,
1744896,-0.00044468794085332773,609625.8130859375,-0.09415246360003948,119618.375,
1753088,-0.0001535254850750789,589253.8669921875,-0.08469874300062656,117517.8359375,
1761280,-0.00032201353205891793,603532.3326171875,-0.08218154609203339,114764.3125,
1769472,-0.00042207402439089494,597863.4361328125,-0.0851875338703394,115824.625,
1777664,-0.0003521770891893539,680077.1263671875,-0.08648791201412678,150217.765625,
1785856,-0.00039549376742797904,589633.401171875,-0.0811231404542923,115804.015625,
1794048,0.00012030094912915957,610450.387109375,-0.07455744668841362,123136.5078125,
1802240,-0.0013870029433746822,647692.0826171875,-0.07335277125239373,128071.3203125,
1810432,0.0004758146409585606,589729.85,-0.07003369443118572,119113.9140625,
1818624,-0.0004858164786128327,693992.1439453125,-0.06937293373048306,136025.9375,
1826816,-5.461669788928702e-05,700285.9119140625,-0.07159102149307728,134219.40625,
1835008,-0.0006041091888619121,651317.191796875,-0.07042446732521057,130161.09375,
1843200,-0.0003781244649871951,606237.568359375,-0.0671457652002573,117770.9140625,
1851392,-0.0005336760812497232,589770.7326171875,-0.060572320222854616,116660.03125,
1859584,0.00016546371043659746,549025.2079101562,-0.049798887223005295,109204.5859375,
1867776,0.0001952918217284605,554846.2418945313,-0.042766188457608226,108085.7265625,
1875968,-0.0006088911337428726,539671.051953125,-0.03145299851894379,105047.9609375,
1884160,-0.002153755063773133,521462.67236328125,-0.021562361717224122,102160.28125,
1892352,-0.00038370993934222497,527386.3029296875,-0.010230478271842003,103466.2578125,
1900544,-0.0009907858053338713,524215.459375,0.0013012789189815522,103709.9765625,
1908736,-0.0005442877947643865,533041.1704101562,0.002897040918469429,105646.1484375,
1916928,0.0008464523398288293,528545.0169921875,0.005071434006094932,104131.3203125,
1925120,-0.000950876660135691,517128.44794921874,0.014828196167945862,101092.3671875,
1933312,-0.00031859973823884503,514184.9559570312,0.028113700821995734,101325.703125,
1941504,0.000168809577007778,514671.30234375,0.03731709159910679,98779.40625,
1949696,-0.00014886931130604354,515322.6922851562,0.04595030546188354,102340.859375,
1957888,-0.0022781783183745572,515137.5689453125,0.0535812895745039,102477.484375,
1966080,-0.00047267566442315,516716.0577148438,0.05411949716508389,101791.984375,
1974272,-0.0002412303216260625,523168.0982421875,0.05459407567977905,102690.8515625,
1982464,-0.0005871823399502318,512484.14990234375,0.05956362225115299,100955.609375,
