episode,reward,timesteps
888,-11472.614,79417
889,-22766.69,79517
890,-27783.295,79617
891,-31545.38,79717
892,-21435.14,79817
893,-13001.84,79917
894,-38656.477,80017
895,-22353.197,80117
896,-53580.707,80217
897,-23528.805,80317
898,-14485.403,80417
899,-16288.591,80517
900,-22573.768,80617
901,-23106.268,80717
902,-16838.912,80817
903,-25833.033,80917
904,-15489.326,81017
905,-18500.328,81117
906,-12727.48,81217
907,-17227.512,81317
908,-17432.627,81417
909,-23151.285,81517
910,-19231.742,81617
911,-13519.407,81717
912,-12566.9,81817
913,-44170.977,81917
914,-40613.723,82017
915,-33501.375,82117
916,-33133.96,82217
917,-35300.18,82317
918,-80372.555,82417
919,-88508.766,82517
920,-20879.168,82617
921,-31594.193,82717
922,-25573.918,82817
923,-25095.102,82917
924,-27943.924,83017
925,-18724.01,83117
926,-43112.977,83217
927,-50506.28,83317
928,-60318.99,83417
929,-25527.5,83517
930,-22246.006,83617
931,-18400.057,83717
932,-33456.926,83817
933,-16587.012,83917
934,-12610.446,84017
935,-21444.496,84117
936,-20711.143,84217
937,-57142.297,84317
938,-14505.305,84417
939,-19035.766,84517
940,-15312.402,84617
941,-34023.492,84717
942,-38728.383,84817
943,-54279.895,84917
944,-54369.316,85017
945,-29694.305,85117
946,-92592.82,85217
947,-13783.205,85317
948,-14669.986,85417
949,-29523.451,85517
950,-16303.035,85617
951,-28638.201,85717
952,-16692.96,85817
953,-15373.715,85917
954,-83714.125,86017
955,-26084.062,86117
956,-46766.234,86217
957,-58691.17,86317
958,-71482.88,86417
959,-22382.475,86517
960,-15239.553,86617
961,-26703.514,86717
962,-17057.133,86817
963,-23602.973,86917
964,-36860.64,87017
965,-13677.011,87117
966,-18350.068,87217
967,-49535.426,87317
968,-32621.342,87417
969,-11751.8545,87517
970,-18555.8,87617
971,-15958.474,87717
972,-14212.4,87817
973,-21493.326,87917
974,-60329.105,88017
975,-36099.63,88117
976,-60480.594,88217
977,-83471.125,88317
978,-43469.93,88417
979,-12898.039,88517
980,-62768.094,88617
981,-26985.984,88717
982,-25306.346,88817
983,-25281.498,88917
984,-28006.633,89017
985,-12016.171,89117
986,-50399.74,89217
987,-33256.363,89317
988,-22740.701,89417
989,-11217.666,89517
990,-30084.936,89617
991,-24916.842,89717
992,-12810.041,89817
993,-38980.164,89917
994,-11228.708,90017
995,-26901.676,90117
996,-44039.277,90217
997,-35555.89,90317
998,-20227.188,90417
999,-24893.129,90517
1000,-17466.709,90617
1001,-15307.045,90717
1002,-86201.88,90817
1003,-12845.81,90917
1004,-19588.484,91017
1005,-27312.53,91117
1006,-74416.75,91217
1007,-11737.929,91317
1008,-67333.01,91417
1009,-35691.094,91517
1010,-41878.58,91617
1011,-61616.34,91717
1012,-12863.104,91817
1013,-33883.902,91917
1014,-22070.7,92017
1015,-58512.125,92117
1016,-98415.88,92217
1017,-97018.664,92317
1018,-13761.502,92417
1019,-16392.324,92517
1020,-14728.018,92617
1021,-18522.89,92717
1022,-44953.812,92817
1023,-11546.474,92917
1024,-63216.97,93017
1025,-23993.264,93117
1026,-51927.676,93217
1027,-15846.709,93317
1028,-50826.395,93417
1029,-44934.84,93517
1030,-13559.271,93617
1031,-32310.238,93717
1032,-16365.988,93817
1033,-26783.379,93917
1034,-10700.66,94017
1035,-38939.504,94117
1036,-50493.48,94217
1037,-16105.322,94317
1038,-21429.428,94417
1039,-21709.88,94517
1040,-28534.984,94617
1041,-68271.08,94717
1042,-24212.758,94817
1043,-13853.941,94917
1044,-50858.137,95017
1045,-26028.633,95117
1046,-13198.784,95217
1047,-99869.16,95317
1048,-13935.404,95417
1049,-98397.695,95517
1050,-26566.469,95617
1051,-29854.77,95717
1052,-54772.402,95817
1053,-10833.688,95917
1054,-31697.633,96017
1055,-24072.504,96117
1056,-26572.986,96217
