train/n_updates,train/learning_rate,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
,,471,-4579.46567969,,1000.0,,540000,540,1146,,
135974,0.0001,471,-4554.65933501,2604.716796875,1000.0,3822.78857421875,544000,544,1153,,
136974,0.0001,472,-4525.49453845,2570.108154296875,1000.0,3072.491455078125,548000,548,1160,,
137474,0.0001,,,2450.5419921875,,756.1937866210938,550000,,,-152506231.311244,1000.0
137974,0.0001,471,-4362.47897824,2709.98193359375,1000.0,2430.78515625,552000,552,1171,,
138974,0.0001,471,-4382.72911909,2696.050048828125,1000.0,3931.631103515625,556000,556,1178,,
139974,0.0001,,,2608.326416015625,,940.6094360351562,560000,,,-152506231.311244,1000.0
,,471,-4371.26852664,,1000.0,,560000,560,1188,,
140974,0.0001,471,-4439.605338279999,2580.577392578125,1000.0,911.0662841796875,564000,564,1195,,
141974,0.0001,472,-4475.10230071,2531.0615234375,1000.0,1740.73046875,568000,568,1203,,
142474,0.0001,,,2614.6318359375,,1218.45703125,570000,,,-152506231.311244,1000.0
142974,0.0001,471,-4517.50857806,2656.75048828125,1000.0,845.0489501953125,572000,572,1213,,
143974,0.0001,471,-4480.52832458,2515.48828125,1000.0,694.53662109375,576000,576,1220,,
144974,0.0001,,,2597.5400390625,,905.4199829101562,580000,,,-152506231.311244,1000.0
,,471,-4514.03920727,,1000.0,,580000,580,1231,,
145974,0.0001,471,-4511.316975160001,2677.6494140625,1000.0,666.748046875,584000,584,1238,,
146974,0.0001,472,-4593.12746992,2633.59375,1000.0,471.87615966796875,588000,588,1245,,
147474,0.0001,,,2716.115966796875,,783.31396484375,590000,,,-152506231.311244,1000.0
147974,0.0001,471,-4659.45734653,2611.75390625,1000.0,2430.72265625,592000,592,1255,,
148974,0.0001,471,-4617.19487011,2521.46923828125,1000.0,2160.41552734375,596000,596,1263,,
149974,0.0001,,,2465.83544921875,,14755.0576171875,600000,,,-152506231.311244,1000.0
,,471,-4669.81158707,,1000.0,,600000,600,1273,,
150974,0.0001,471,-4649.452046959999,2721.201416015625,1000.0,1245.38671875,604000,604,1280,,
151974,0.0001,472,-4728.68726151,2509.118408203125,1000.0,1819.599853515625,608000,608,1287,,
152474,0.0001,,,2609.63916015625,,628.7635498046875,610000,,,-152506231.311244,1000.0
152974,0.0001,471,-4759.50546208,2422.001220703125,1000.0,1392.0198974609375,612000,612,1298,,
153974,0.0001,471,-4784.88288225,2641.602294921875,1000.0,1437.398193359375,616000,616,1305,,
154974,0.0001,,,2634.3818359375,,1000.774169921875,620000,,,-152506231.311244,1000.0
,,471,-4870.062765489999,,1000.0,,620000,620,1315,,
155974,0.0001,471,-4791.322212179999,2728.6552734375,1000.0,1254.93017578125,624000,624,1323,,
156974,0.0001,472,-4799.32911938,2605.767822265625,1000.0,578.49169921875,628000,628,1330,,
157474,0.0001,,,2671.77783203125,,1355.966064453125,630000,,,-152506231.311244,1000.0
157974,0.0001,471,-4875.684666209999,2546.81591796875,1000.0,15537.671875,632000,632,1340,,
158974,0.0001,471,-4892.36272137,2546.73193359375,1000.0,405.7352600097656,636000,636,1348,,
159974,0.0001,,,2589.335693359375,,389.32379150390625,640000,,,-152506231.311244,1000.0
,,471,-4880.89851348,,1000.0,,640000,640,1358,,
160974,0.0001,471,-4899.407769549999,2475.67236328125,1000.0,9012.283203125,644000,644,1365,,
161974,0.0001,472,-4954.90236981,2646.25634765625,1000.0,575.1688232421875,648000,648,1372,,
162474,0.0001,,,2713.553955078125,,535.9892578125,650000,,,-152506231.311244,1000.0
162974,0.0001,471,-5037.146052380001,2681.947265625,1000.0,2861.915283203125,652000,652,1383,,
163974,0.0001,471,-5091.30904124,2598.43017578125,1000.0,3191.422607421875,656000,656,1390,,
164974,0.0001,,,2447.77685546875,,432.8452453613281,660000,,,-152506231.311244,1000.0
,,471,-5115.265845610001,,1000.0,,660000,660,1400,,
165974,0.0001,471,-5054.565249910001,2437.13037109375,1000.0,1000.1951904296875,664000,664,1408,,
166974,0.0001,471,-5073.375072039999,2552.50634765625,1000.0,899.9530639648438,668000,668,1415,,
167474,0.0001,,,2664.5087890625,,1675.4840087890625,670000,,,-152506231.311244,1000.0
167974,0.0001,471,-4980.42748946,2528.4423828125,1000.0,522.6777954101562,672000,672,1425,,
168974,0.0001,471,-4997.2635249899995,2344.160888671875,1000.0,548.7315673828125,676000,676,1432,,
169974,0.0001,,,2577.80908203125,,2600.87744140625,680000,,,-152506231.311244,1000.0
,,471,-4956.618914169999,,1000.0,,680000,680,1443,,
170974,0.0001,471,-4934.86459347,2479.77392578125,1000.0,2433.2392578125,684000,684,1450,,
171974,0.0001,471,-4883.61377166,2621.60791015625,1000.0,1069.442626953125,688000,688,1457,,
172474,0.0001,,,2554.58984375,,2182.43408203125,690000,,,-152506231.311244,1000.0
172974,0.0001,471,-4776.37109199,2527.7236328125,1000.0,515.9063110351562,692000,692,1468,,
173974,0.0001,471,-4786.33076016,2303.552734375,1000.0,534.4961547851562,696000,696,1475,,
174974,0.0001,,,2428.5361328125,,488.16070556640625,700000,,,-152506231.311244,1000.0
,,471,-4697.2799936599995,,1000.0,,700000,700,1485,,
175974,0.0001,471,-4665.92969338,2482.49755859375,1000.0,391.6717529296875,704000,704,1492,,
176974,0.0001,471,-4678.49679811,2540.70751953125,1000.0,1211.7841796875,708000,708,1500,,
177474,0.0001,,,2564.8310546875,,603.074951171875,710000,,,-152506231.311244,1000.0
177974,0.0001,471,-4665.65737303,2304.25244140625,1000.0,479.96575927734375,712000,712,1510,,
178974,0.0001,471,-4632.875357879999,2461.640869140625,1000.0,540.9287109375,716000,716,1517,,
