rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/learning_rate
100.0,1079,344064,42,318,-10003.90970002,-1.3326871179044246,548880.6315429688,0.2,410,0.0024165267,-0.0005458821506181266,0.00877685546875,103283.8828125,0.0,0.9172044992446899,0.0003
100.0,1080,352256,43,326,-10021.237905249998,-1.333391074091196,556867.971484375,0.2,420,0.0017959094,-0.0007255128133692778,0.007080078125,108965.890625,0.0,0.9173778891563416,0.0003
100.0,1080,360448,44,333,-10106.87995131,-1.3335453566163777,554980.1388671875,0.2,430,0.0026979167,-0.0009924301033606754,0.010546875,107265.9140625,0.0,0.917697012424469,0.0003
100.0,1080,368640,45,341,-10108.950038669998,-1.3302831936627626,565904.29765625,0.2,440,0.0018312349,-0.0003042280472072889,0.0051513671875,104572.515625,-1.1920928955078125e-07,0.9125415682792664,0.0003
100.0,1081,376832,46,348,-10179.25790852,-1.3236082158982754,557603.4456054687,0.2,450,0.0033674452,-0.0017126987979281694,0.0191162109375,107684.46875,5.960464477539063e-08,0.9055845141410828,0.0003
100.0,1081,385024,47,355,-10086.37238142,-1.3180988859385252,566878.71328125,0.2,460,0.0042257598,-0.0009297082942794077,0.01605224609375,110117.5078125,-1.1920928955078125e-07,0.9031130075454712,0.0003
100.0,1081,393216,48,363,-10067.6579962,-1.3189365901052952,547641.8274414062,0.2,470,0.0015173955,-0.00016169677401194348,0.00091552734375,106963.265625,0.0,0.9057862162590027,0.0003
100.0,1082,401408,49,370,-10101.06780391,-1.3163921792060136,541785.8244140625,0.2,480,0.0024743006,-0.0008106127992505207,0.01099853515625,102027.859375,0.0,0.8993977308273315,0.0003
100.0,1082,409600,50,378,-10049.17481218,-1.311345286667347,544934.0409179687,0.2,490,0.002034658,-0.0002569226553532644,0.0044921875,103194.765625,0.0,0.8973134160041809,0.0003
100.0,1082,417792,51,385,-10035.573855730001,-1.3085774250328541,531300.6524414063,0.2,500,0.0018669756,-0.0007466381175618153,0.00751953125,102401.171875,0.0,0.8931703567504883,0.0003
100.0,1083,425984,52,393,-10127.96643097,-1.308367621153593,528354.7403320313,0.2,510,0.0017668651,-0.0009124988166149706,0.0075439453125,101786.40625,0.0,0.8973371982574463,0.0003
100.0,1083,434176,53,400,-10041.020923680002,-1.3086777072399856,539320.2798828125,0.2,520,0.0022293797,-0.0005459072228404694,0.00606689453125,101856.2890625,0.0,0.8939266204833984,0.0003
100.0,1084,442368,54,408,-9969.95080437,-1.3097080066800117,517613.39287109376,0.2,530,0.0014602019,-0.0004753172885102686,0.00574951171875,98901.3125,0.0,0.8982335925102234,0.0003
100.0,1084,450560,55,415,-10013.84244378,-1.3102022416889667,505489.4852539062,0.2,540,0.0030875062,-0.0015887095531070372,0.01461181640625,96342.84375,0.0,0.8954615592956543,0.0003
100.0,1084,458752,56,422,-10108.96225117,-1.305742660537362,512441.1087890625,0.2,550,0.0021954014,-0.00044926693226443604,0.007568359375,99454.9140625,0.0,0.8909823894500732,0.0003
100.0,1085,466944,57,430,-10152.03061324,-1.3061554692685604,522355.037890625,0.2,560,0.0006537143,-0.0002126078299625078,0.00069580078125,100318.5625,1.7881393432617188e-07,0.8942172527313232,0.0003
100.0,1085,475136,58,437,-10097.51548628,-1.305059576407075,523099.4240234375,0.2,570,0.0013839812,-0.0004027632727229502,0.00355224609375,98935.765625,0.0,0.8905630707740784,0.0003
100.0,1085,483328,59,445,-10069.32957955,-1.3060018926858903,508242.5193359375,0.2,580,0.0014048092,-0.0005338862501957919,0.00416259765625,94568.0390625,0.0,0.8947126269340515,0.0003
100.0,1085,491520,60,452,-10136.46764738,-1.3062844675034284,501370.30302734376,0.2,590,0.0029712243,-0.0013271299758343957,0.01551513671875,97196.2890625,-1.1920928955078125e-07,0.8913503885269165,0.0003
100.0,1086,499712,61,460,-10236.56460274,-1.298733028396964,509250.4756835938,0.2,600,0.001545765,-0.0003202438172593247,0.00301513671875,96064.53125,0.0,0.8833202719688416,0.0003
100.0,1086,507904,62,467,-10248.70554678,-1.289610707759857,522229.61259765626,0.2,610,0.0016499171,-0.0005405244479334215,0.00367431640625,96337.5625,0.0,0.8738359212875366,0.0003
100.0,1086,516096,63,474,-10322.659194490001,-1.2847827337682247,519090.04267578124,0.2,620,0.0009482043,-0.0002265250532218488,0.00172119140625,98315.5390625,0.0,0.874201774597168,0.0003
100.0,1086,524288,64,482,-10346.72391975,-1.2858294241130352,525365.014453125,0.2,630,0.0007031877,-1.8517822900321336e-05,0.00047607421875,97801.3203125,0.0,0.8757854700088501,0.0003
100.0,1087,532480,65,489,-10406.873105450002,-1.2824455592781305,523594.18095703126,0.2,640,0.0015067358,-0.0007418677581881638,0.0071044921875,99547.75,1.1920928955078125e-07,0.8694763779640198,0.0003
100.0,1087,540672,66,497,-10484.48921376,-1.282313859090209,529397.229296875,0.2,650,0.0014523154,-0.0001547397783724591,0.00181884765625,100947.53125,1.1920928955078125e-07,0.8746897578239441,0.0003
100.0,1087,548864,67,504,-10409.901955709998,-1.2781664047390222,536132.153125,0.2,660,0.001704009,-0.000442423383356072,0.0048095703125,103959.890625,0.0,0.8632431030273438,0.0003
100.0,1087,557056,68,512,-10275.06204429,-1.2749034218490123,518943.53125,0.2,670,0.0011045252,1.098600696423091e-05,0.0014404296875,102779.2265625,0.0,0.8677706718444824,0.0003
100.0,1088,565248,69,519,-10389.92953008,-1.2742835391312837,496095.3240234375,0.2,680,0.0037662305,-0.001443891391681973,0.01942138671875,92103.4296875,-1.1920928955078125e-07,0.8636046051979065,0.0003
100.0,1088,573440,70,526,-10343.582559299999,-1.2758610662072898,514809.0379882812,0.2,690,0.0017635073,-0.0014425674628000707,0.01279296875,95871.5625,0.0,0.869346559047699,0.0003
100.0,1088,581632,71,534,-10400.48559225,-1.2763945892453195,496440.11357421876,0.2,700,0.0024812354,-0.00048038211461971515,0.005029296875,94486.0234375,0.0,0.8641176819801331,0.0003
100.0,1088,589824,72,541,-10298.37682716,-1.2735181104391813,506571.961328125,0.2,710,0.002819166,-0.0012202501276988187,0.01522216796875,100556.0390625,0.0,0.8655097484588623,0.0003
